Date,1 yr,30YR,SPREAD,SP500,GOLD,OIL,CHHUSD,JPYUSD
1977-03-01,5.50,7.80,2.30,0.00,148.34,0.00,2.55,280.23
1977-04-01,5.44,7.73,2.29,0.00,149.18,0.00,2.53,275.21
1977-05-01,5.84,7.80,1.95,0.00,146.54,0.00,2.52,277.43
1977-06-01,5.80,7.64,1.84,0.00,140.83,0.00,2.49,272.86
1977-07-01,5.94,7.64,1.71,0.00,143.40,0.00,2.41,264.86
1977-08-01,6.37,7.68,1.31,0.00,145.01,0.00,2.41,266.68
1977-09-01,6.53,7.64,1.12,0.00,149.33,0.00,2.37,266.77
1977-10-01,6.97,7.77,0.81,0.00,158.85,0.00,2.28,254.74
1977-11-01,6.95,7.85,0.89,0.00,162.13,0.00,2.20,244.70
1977-12-01,6.96,7.94,0.98,0.00,160.48,0.00,2.08,241.02
1978-01-01,7.28,8.18,0.90,0.00,173.21,0.00,1.99,241.08
1978-02-01,7.34,8.25,0.92,0.00,178.36,0.00,1.91,240.37
1978-03-01,7.31,8.23,0.92,0.00,183.77,0.00,1.90,231.86
1978-04-01,7.45,8.34,0.89,0.00,175.32,0.00,1.91,221.86
1978-05-01,7.82,8.43,0.61,0.00,176.19,0.00,1.97,226.18
1978-06-01,8.09,8.50,0.41,0.00,183.76,0.00,1.89,214.11
1978-07-01,8.39,8.65,0.26,0.00,188.57,0.00,1.80,199.70
1978-08-01,8.31,8.47,0.16,0.00,206.45,0.00,1.67,188.71
1978-09-01,8.64,8.47,-0.17,0.00,212.21,0.00,1.57,189.92
1978-10-01,9.14,8.67,-0.47,0.00,227.43,0.00,1.54,183.63
1978-11-01,10.01,8.75,-1.26,0.00,207.08,0.00,1.67,192.14
1978-12-01,10.30,8.88,-1.41,0.00,207.89,0.00,1.68,195.96
1979-01-01,10.41,8.94,-1.48,0.00,226.99,0.00,1.67,197.76
1979-02-01,10.24,9.00,-1.24,0.00,245.59,0.00,1.68,200.51
1979-03-01,10.25,9.03,-1.22,0.00,242.35,0.00,1.68,206.32
1979-04-01,10.12,9.08,-1.04,0.00,239.17,0.00,1.72,216.29
1979-05-01,10.12,9.19,-0.92,0.00,257.74,0.00,1.73,218.41
1979-06-01,9.57,8.92,-0.65,0.00,279.36,0.00,1.70,218.60
1979-07-01,9.64,8.93,-0.71,0.00,295.01,0.00,1.65,216.51
1979-08-01,9.98,8.98,-1.00,0.00,300.79,0.00,1.66,217.93
1979-09-01,10.84,9.17,-1.68,0.00,354.50,0.00,1.61,222.41
1979-10-01,12.44,9.85,-2.60,0.00,390.96,0.00,1.63,230.48
1979-11-01,12.39,10.30,-2.09,0.00,391.52,0.00,1.64,244.98
1979-12-01,11.98,10.12,-1.86,0.00,463.67,0.00,1.60,240.37
1980-01-01,12.06,10.60,-1.46,0.00,674.58,0.00,1.60,237.89
1980-02-01,13.92,12.13,-1.79,0.00,665.89,0.00,1.64,244.35
1980-03-01,15.82,12.34,-3.48,0.00,554.28,0.00,1.76,248.48
1980-04-01,13.30,11.40,-1.90,0.00,516.71,0.00,1.76,250.28
1980-05-01,9.39,10.36,0.97,0.00,514.27,0.00,1.66,228.63
1980-06-01,8.16,9.81,1.66,0.00,600.79,0.00,1.63,217.92
1980-07-01,8.65,10.24,1.59,0.00,645.75,0.00,1.61,221.14
1980-08-01,10.24,11.00,0.76,0.00,626.36,0.00,1.65,223.91
1980-09-01,11.52,11.34,-0.18,0.00,673.94,0.00,1.64,214.42
1980-10-01,12.49,11.59,-0.90,0.00,662.27,0.00,1.66,209.32
1980-11-01,14.15,12.37,-1.78,0.00,623.88,0.00,1.73,213.11
1980-12-01,14.88,12.40,-2.49,0.00,596.71,0.00,1.79,209.49
1981-01-01,14.08,12.14,-1.94,0.00,557.81,0.00,1.82,202.37
1981-02-01,14.57,12.80,-1.77,0.00,500.80,0.00,1.94,205.72
1981-03-01,13.71,12.69,-1.03,0.00,499.69,0.00,1.92,208.79
1981-04-01,14.32,13.20,-1.13,0.00,496.63,0.00,1.97,214.98
1981-05-01,16.20,13.60,-2.59,0.00,480.32,0.00,2.07,220.63
1981-06-01,14.86,12.96,-1.90,0.00,460.50,0.00,2.07,224.18
1981-07-01,15.72,13.59,-2.13,0.00,409.28,0.00,2.10,232.33
1981-08-01,16.72,14.17,-2.55,0.00,410.24,0.00,2.17,233.33
1981-09-01,16.52,14.67,-1.86,0.00,443.77,0.00,2.02,229.48
1981-10-01,15.38,14.68,-0.70,0.00,437.68,0.00,1.88,231.52
1981-11-01,12.41,13.35,0.94,0.00,413.40,0.00,1.79,223.13
1981-12-01,12.85,13.45,0.60,0.00,410.12,0.00,1.82,218.95
1982-01-01,14.32,14.22,-0.09,0.00,384.16,0.00,1.84,224.81
1982-02-01,14.73,14.22,-0.51,0.00,374.46,0.00,1.89,235.31
1982-03-01,13.95,13.53,-0.42,0.00,329.98,0.00,1.89,241.23
1982-04-01,13.98,13.37,-0.61,0.00,350.34,0.00,1.96,244.11
1982-05-01,13.34,13.24,-0.10,0.00,334.51,0.00,1.95,236.96
1982-06-01,14.07,13.92,-0.14,0.00,314.96,0.00,2.08,251.20
1982-07-01,13.24,13.55,0.31,0.00,337.90,0.00,2.10,255.03
1982-08-01,11.43,12.77,1.34,0.00,363.41,0.00,2.11,259.05
1982-09-01,10.85,12.07,1.21,0.00,438.15,0.00,2.14,263.29
1982-10-01,9.32,11.17,1.85,0.00,422.79,0.00,2.17,271.62
